user_id,username,full_name,birthday,age,gender,age_group,phone,email,address,job,cccd,created_at
202261611196857,qđggiap08,Quách Đức Giáp,2008-11-19,17,Male,16-19,0358375749,xnoiq532@outlook.com,"380 Nam Kỳ Khởi Nghĩa, Hải Dương",Sinh viên,030208689479,2025-07-28
202260264782355,nguyenthanh07,Nguyễn Vân Thanh,2007-06-16,18,Male,16-19,0989276271,plhnl921@gmail.com,"105 Tôn Đức Thắng, Quảng Ninh",Sinh viên,022207139023,2025-09-23
202266853240340,ntv1997,Nguyễn Thanh Vi,1997-11-02,28,Female,26-30,0917609061,viper11@vnn.vn,"859 Nguyễn Duy Trinh, Sơn La",Bác sĩ,014197608407,2025-07-08
202265976533210,nguyenphuc97,Nguyễn Khánh Phúc,1997-04-21,28,Male,26-30,0906598688,nguyenk713@yahoo.com,"785 Lương Định Của, Bà Rịa - Vũng Tàu",Kế toán,077097897797,2025-04-18
202261435038983,duong2905,Trần Dương,1996-05-29,29,Female,26-30,0357214696,tranduo731@yahoo.com,"618 Trần Xuân Soạn, Vĩnh Long",Luật sư,086196238379,2024-12-11
202265817701197,nguyenkien06,Nguyễn Hải Kiên,2006-01-13,20,Male,20-25,0326592199,tiger714@yahoo.com,"571 Lê Thánh Tôn, Quảng Ngãi",Sinh viên,051206863321,2025-04-12
202263321462395,nguyenhoang97,Nguyễn Hoàng,1997-06-01,28,Male,26-30,0703836440,nguyenhoang97@vnn.vn,"782 Cộng Hòa, Cần Thơ",Kỹ thuật viên,092097278686,2024-11-14
202262156377618,nvc080295,Nguyễn Vương Chính,1995-02-08,31,Male,31-35,0321526384,nvc080295@fpt.edu.vn,"812 Nguyễn Huệ, Đà Nẵng",Nhân viên bán hàng,048095177448,2025-02-20
202266751047605,hvk101096,Hoàng Vĩnh Khánh,1996-10-10,29,Male,26-30,0904088966,hvk101096@yahoo.com,"342 Khâm Thiên, Bạc Liêu",Nhân viên văn phòng,095096789823,2024-09-30
202260229974125,ttggiau04,Trần Trọng Giàu,2004-09-11,21,Male,20-25,0981663140,esoyp548@gmail.com,"589 Mạc Đĩnh Chi, Quảng Bình",Sinh viên,044204841238,2024-11-20
202265497219896,nhp1991,Nguyễn Hùng Phú,1991-05-21,34,Male,31-35,0708556489,shark17@vnn.vn,"126 Nguyễn Huệ, Long An",Kỹ thuật viên,080091170487,2024-07-10
202263130251991,đat614,Phạm Kiến Đạt,2002-01-01,24,Male,20-25,0911770773,avtnk653@yahoo.com,"691 Hùng Vương, Quảng Bình",Quản lý cửa hàng,044202179941,2025-04-07
202264976476289,phamhuong96,Phạm Thị Hường,1996-05-15,29,Female,26-30,0352549385,phamhuong96@gmail.com,"356 Nguyễn Thị Minh Khai, Sơn La",Thiết kế đồ họa,014196261573,2025-11-29
202264132216015,nguyenviet93,Nguyễn Tố Việt,1993-06-22,32,Female,31-35,0355536501,ancient543@gmail.com,"570 Trần Bình Trọng, Lào Cai",Dược sĩ,010193575967,2024-09-07
202262979310942,le1510,Nguyễn Như Lệ,1994-10-15,31,Female,31-35,0703456034,hidden474@yahoo.com,"509 Đội Cấn, Cần Thơ",Kỹ sư,092194585881,2025-09-12
202265996140021,thu544,Nguyễn Thụ,2000-03-02,26,Male,26-30,0863349389,thu544@vnn.vn,"569 Nguyễn Xiển, Hồ Chí Minh",Freelancer,079200782503,2025-04-05
202268293021807,cong0412,Tạ Mạc Công,1997-12-04,28,Male,26-30,0355846993,zen429@outlook.com,"627 Phan Chu Trinh, Hưng Yên",Quản lý cửa hàng,033097286696,2024-09-04
202266899209086,npt010504,Nguyễn Phúc Tân,2004-05-01,21,Male,20-25,0984324693,npt010504@outlook.com,"498 Trương Định, Hòa Bình",Sinh viên,017204417879,2025-10-19
202264402100452,lat1996,Lê Ánh Thuần,1996-09-17,29,Female,26-30,0359031557,leanht316@vnn.vn,"492 Đường số 5, Phú Thọ",Đầu bếp,025196174111,2025-10-25
202268570607890,ndk180996,Nguyễn Diệp Kha,1996-09-18,29,Female,26-30,0905894969,nguy669@vnn.vn,"820 Nguyễn Xiển, Lào Cai",Giao dịch viên,010196912935,2024-06-22
202268274002174,quan979,Lê Vũ Quân,1991-02-12,35,Male,31-35,0867797970,levu119@gmail.com,"937 Láng Hạ, Ninh Bình",Kỹ thuật viên,037091617517,2025-06-02
202269772146708,phuong970,Nguyễn Minh Phượng,1993-01-16,33,Female,31-35,0868011090,phuong970@vnn.vn,"120 Đại Cồ Việt, Thái Bình",Dược sĩ,034193506584,2025-07-31
202262054817733,lvg191291,Lê Vũ Giáp,1991-12-19,34,Male,31-35,0864039251,boy968@vnn.vn,"606 Kim Mã, Long An",Nhân viên bán hàng,080091908842,2024-12-19
202266773877719,ntt210169,Nguyễn Thục Thuần,1969-01-21,57,Female,36-60,0323327962,nguyent998@yahoo.com,"256 Lý Thường Kiệt, Long An",Nhân viên bán hàng,080169575135,2025-04-04
202269909951240,tranan03,Trần Thảo An,2003-05-07,22,Female,20-25,0917000173,nliti719@fpt.edu.vn,"177 Quang Trung, Trà Vinh",Sinh viên,084303157448,2025-03-31
202269572234788,thao1702,Vũ Thái Thảo,1971-02-17,55,Male,36-60,0908721564,vuthait159@outlook.com,"280 An Dương Vương, An Giang",Nhân viên văn phòng,089071588615,2025-01-07
202264983345364,tranlieu92,Trần Thiên Liễu,1992-05-26,33,Female,31-35,0705563040,tranlieu92@fpt.edu.vn,"949 Cách Mạng Tháng 8, Tiền Giang",Freelancer,082192955237,2024-06-27
202263456724219,pbhhuyen03,Phạm Bảo Huyền,2003-05-17,22,Male,20-25,0901121016,elzfe829@fpt.edu.vn,"137 Điện Biên Phủ, Vĩnh Phúc",Sinh viên,026203689821,2025-03-21
202265848183344,phamanh74,Phạm Khánh Anh,1974-04-07,51,Female,36-60,0323929348,phamkh521@fpt.edu.vn,"953 Song Hành, Long An",Nội trợ,080174687053,2024-12-04
202261459536399,kbu091197,Khổng Bảo Uyển,1997-11-09,28,Female,26-30,0329728597,khongb35@gmail.com,"939 Bà Huyện Thanh Quan, Hải Phòng",Dược sĩ,031197999585,2024-12-27
202263522298994,npttan08,Nguyễn Phi Tấn,2008-06-14,17,Male,16-19,0916411977,npttan08@vnn.vn,"403 Võ Thị Sáu, Quảng Ninh",Sinh viên,022208423630,2025-02-17
202262340382721,nhi281,Âu Nhi,2005-04-26,20,Female,20-25,0866429149,aunhi847@vnn.vn,"94 Láng Hạ, Tuyên Quang",Sinh viên,008305546960,2024-08-31
