user_id,username,full_name,birthday,phone,email
2022620092,trungxuanbui61,Trung Xuân Bùi,28/03/1991,0952802362,ynnkz611@vnn.vn
2022670596,baoduong33,Bảo Dương,07/11/2000,0966910252,jwldl230@vnn.vn
2022652753,anmai26,An Mai,17/06/2002,0972967639,anmai257@outlook.com
2022681791,chichiđang64,Chị Chi Đặng,07/07/1998,0948629752,langtu199@yahoo.com
2022670467,bacquanghoang53,Bác Quang Hoàng,03/05/2008,0931798211,phongba776@vnn.vn
2022627378,minhhuuvu52,Minh Hữu Vũ,01/06/1988,0924500912,minhh866@gmail.com
2022664410,lanvu77,Lan Vũ,05/03/1989,0953017227,tjtgx445@outlook.com
2022610915,thanhpham46,Thành Phạm,12/05/1986,0986770679,shadow783@vnn.vn
2022605900,chihaiduong89,Chị Hải Dương,25/03/1990,0945281124,chih714@gmail.com
2022674276,chilantran54,Chị Lan Trần,27/03/2007,0943637756,chilant168@vnn.vn
2022692763,bacthanhduong50,Bác Thành Dương,08/08/2000,0993455060,baby867@outlook.com
2022629573,trongvanđang95,Trọng Văn Đặng,16/10/2005,0932739264,trongv122@yahoo.com
2022620432,dungbui10,Dũng Bùi,08/06/2004,0970007461,dungbui295@outlook.com
2022660760,hoangmai33,Hoàng Mai,17/06/1993,0935015793,zcjcy111@outlook.com
2022637781,cohuongđang38,Cô Hương Đặng,27/02/2003,0917075416,cohu286@vnn.vn
2022685099,trongđang64,Trọng Đặng,20/06/2005,0998105685,tron728@vnn.vn
2022659298,bathanhle67,Bà Thành Lê,28/11/1993,0971556319,bath42@yahoo.com
2022648707,quycolammai66,Quý cô Lâm Mai,01/04/1988,0960323807,hacker702@vnn.vn
2022658259,comaimai97,Cô Mai Mai,21/03/2004,0941635175,abcxyz726@vnn.vn
2022629377,hoangquanghoang49,Hoàng Quang Hoàng,28/02/1995,0985795959,hoangqu287@outlook.com
2022617229,anhquangtran91,Anh Quang Trần,07/10/1988,0977106828,tqvrv207@outlook.com
2022650774,anhtronghoang72,Anh Trọng Hoàng,22/03/2001,0929709586,ufchq357@gmail.com
2022620728,thanhle22,Thành Lê,06/06/1986,0924120091,thanhle353@yahoo.com
2022617953,hanhbui55,Hạnh Bùi,12/05/1995,0954480943,abcxyz852@gmail.com
2022631290,nhienvu31,Nhiên Vũ,24/02/1990,0999627427,boy783@yahoo.com
2022649337,colannguyen33,Cô Lan Nguyễn,16/01/1990,0973635968,colanng279@yahoo.com
2022661090,quycohavu63,Quý cô Hà Vũ,01/03/1999,0961890853,quycoha71@outlook.com
2022652678,nhatvu40,Nhật Vũ,03/02/1985,0985000431,nhat684@vnn.vn
2022623763,quyongtunghoang59,Quý ông Tùng Hoàng,11/09/1997,0930536866,quyo567@gmail.com
